minute_offset,real_median,real_p25,real_p75,real_n,shifted_median,shifted_p25,shifted_p75,shifted_n,gap_median
70,0.5351,0.361,1.108,14,0.3762,0.1778,0.4186,14,0.1589
75,0.5396,0.488,0.7553,14,0.3606,0.1608,0.5494,14,0.179
80,0.6029,0.5602,0.9328,14,0.3923,0.121,0.5101,14,0.2106
85,0.6491,0.595,0.9946,14,0.4564,0.2293,0.6362,14,0.1927
90,0.6265,0.6023,1.132,14,0.586,0.1737,0.7718,14,0.0405
95,0.745,0.4145,1.0962,14,0.6881,0.3551,1.0464,14,0.0569
100,0.7384,0.5482,1.0321,14,0.6876,0.5028,0.9745,14,0.0508
105,0.6948,0.6141,1.1638,14,0.7774,0.5385,1.1642,14,-0.0826
110,0.6792,0.5116,1.7587,14,0.8155,0.5872,1.1495,14,-0.1363
115,0.7688,0.5883,1.9144,14,0.7892,0.4986,1.1996,14,-0.0204
120,0.9005,0.6284,2.3955,13,0.8812,0.5118,1.2688,13,0.0193
125,1.2138,0.6685,1.7698,13,0.9338,0.6013,1.465,13,0.28
130,1.2399,0.722,2.363,13,1.1837,0.7549,1.2705,13,0.0562
135,1.1616,0.7086,2.5352,13,1.2455,0.6738,1.3015,13,-0.0839
140,1.1616,0.5764,1.789,13,1.2495,0.805,1.3844,13,-0.0879
145,1.1355,0.6284,1.7507,13,1.2015,0.8188,1.3224,13,-0.066
150,1.3573,0.5752,2.7447,13,1.0571,0.8444,1.1642,13,0.3002
155,1.5401,0.6685,2.8716,13,1.0571,0.5198,1.1669,13,0.483
160,1.5009,0.6953,2.4586,13,0.8831,0.699,1.1838,13,0.6178
165,1.5531,0.6151,2.5661,13,1.0609,0.8207,1.1576,13,0.4922
170,1.4879,0.5883,2.2872,13,1.138,0.7682,1.1387,13,0.3499
175,1.1224,0.6084,2.1597,13,0.9026,0.5736,1.1771,13,0.2198
180,0.7488,0.6041,2.1039,13,0.8568,0.6594,1.3178,13,-0.108
