event_id,event_label,ts_utc,ts_et,minute_offset,open,high,low,close,volume,is_zero_vol,is_rth_bar,anchor_price,cum_pct_signed,cum_pct_abs
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:00:00Z,2026-03-04 16:00 ET,55,91.56,91.63,91.44,91.62,0,True,False,90.75,0.9587,0.9587
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:05:00Z,2026-03-04 16:05 ET,60,91.64,91.88,91.51,91.84,0,True,False,90.75,1.2011,1.2011
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:10:00Z,2026-03-04 16:10 ET,65,91.56,92.0,91.56,91.87,0,True,False,90.75,1.2333,1.2333
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:15:00Z,2026-03-04 16:15 ET,70,91.89,92.09,91.85,92.07,0,True,False,90.75,1.4553,1.4553
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:20:00Z,2026-03-04 16:20 ET,75,92.09,92.58,92.09,92.43,0,True,False,90.75,1.8504,1.8504
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:25:00Z,2026-03-04 16:25 ET,80,92.39,92.47,92.19,92.28,0,True,False,90.75,1.6854,1.6854
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:30:00Z,2026-03-04 16:30 ET,85,92.26,92.35,92.13,92.19,0,True,False,90.75,1.5913,1.5913
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:35:00Z,2026-03-04 16:35 ET,90,92.22,92.25,92.0,92.2,0,True,False,90.75,1.5991,1.5991
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:40:00Z,2026-03-04 16:40 ET,95,92.21,92.3,92.12,92.26,0,True,False,90.75,1.665,1.665
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:45:00Z,2026-03-04 16:45 ET,100,92.3,92.3,92.17,92.29,0,True,False,90.75,1.697,1.697
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:50:00Z,2026-03-04 16:50 ET,105,92.29,92.42,92.27,92.36,0,True,False,90.75,1.7772,1.7772
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T21:55:00Z,2026-03-04 16:55 ET,110,92.37,92.37,92.28,92.3,0,True,False,90.75,1.708,1.708
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:00:00Z,2026-03-04 17:00 ET,115,92.28,92.42,91.95,92.08,0,True,False,90.75,1.4671,1.4671
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:05:00Z,2026-03-04 17:05 ET,120,92.2,92.2,92.07,92.19,0,True,False,90.75,1.5838,1.5838
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:10:00Z,2026-03-04 17:10 ET,125,92.0,92.19,92.0,92.05,0,True,False,90.75,1.4325,1.4325
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:15:00Z,2026-03-04 17:15 ET,130,92.05,92.15,91.99,92.0,0,True,False,90.75,1.3774,1.3774
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:20:00Z,2026-03-04 17:20 ET,135,92.0,92.19,91.95,92.16,0,True,False,90.75,1.5567,1.5567
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:25:00Z,2026-03-04 17:25 ET,140,92.09,92.19,91.92,92.19,0,True,False,90.75,1.5868,1.5868
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:30:00Z,2026-03-04 17:30 ET,145,91.92,92.35,91.92,92.35,0,True,False,90.75,1.7631,1.7631
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:35:00Z,2026-03-04 17:35 ET,150,92.21,92.35,92.21,92.34,0,True,False,90.75,1.7501,1.7501
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:40:00Z,2026-03-04 17:40 ET,155,92.32,92.42,92.32,92.39,0,True,False,90.75,1.8072,1.8072
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:45:00Z,2026-03-04 17:45 ET,160,92.4,92.42,92.32,92.39,0,True,False,90.75,1.8074,1.8074
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:50:00Z,2026-03-04 17:50 ET,165,92.39,92.42,92.33,92.37,0,True,False,90.75,1.7851,1.7851
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T22:55:00Z,2026-03-04 17:55 ET,170,92.33,92.49,92.33,92.49,0,True,False,90.75,1.9124,1.9124
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T23:00:00Z,2026-03-04 18:00 ET,175,92.44,92.44,92.0,92.22,0,True,False,90.75,1.6199,1.6199
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T23:05:00Z,2026-03-04 18:05 ET,180,92.22,92.27,92.01,92.05,0,True,False,90.75,1.427,1.427
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T08:20:00Z,2026-03-23 04:20 ET,-180,124.91,125.0,124.75,124.96,0,True,False,112.89,10.6918,10.6918
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T08:25:00Z,2026-03-23 04:25 ET,-175,124.96,125.15,124.66,125.1,0,True,False,112.89,10.8158,10.8158
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T08:30:00Z,2026-03-23 04:30 ET,-170,124.86,124.92,124.19,124.23,0,True,False,112.89,10.0452,10.0452
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T08:35:00Z,2026-03-23 04:35 ET,-165,124.2,124.63,124.1,124.18,0,True,False,112.89,10.0009,10.0009
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T08:40:00Z,2026-03-23 04:40 ET,-160,124.2,124.34,123.9,124.24,0,True,False,112.89,10.054,10.054
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T08:45:00Z,2026-03-23 04:45 ET,-155,124.23,124.71,124.11,124.14,0,True,False,112.89,9.9655,9.9655
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T08:50:00Z,2026-03-23 04:50 ET,-150,124.32,124.35,123.79,124.04,0,True,False,112.89,9.8769,9.8769
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T08:55:00Z,2026-03-23 04:55 ET,-145,124.1,124.33,123.78,123.78,0,True,False,112.89,9.6466,9.6466
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:00:00Z,2026-03-23 05:00 ET,-140,123.76,123.85,123.55,123.6,0,True,False,112.89,9.4871,9.4871
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:05:00Z,2026-03-23 05:05 ET,-135,123.63,123.65,123.25,123.25,0,True,False,112.89,9.1771,9.1771
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:10:00Z,2026-03-23 05:10 ET,-130,123.25,123.25,122.45,122.58,0,True,False,112.89,8.5836,8.5836
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:15:00Z,2026-03-23 05:15 ET,-125,122.56,122.7,122.32,122.32,0,True,False,112.89,8.3533,8.3533
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:20:00Z,2026-03-23 05:20 ET,-120,122.34,122.9,122.24,122.9,0,True,False,112.89,8.867,8.867
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:25:00Z,2026-03-23 05:25 ET,-115,122.89,123.31,122.88,123.21,0,True,False,112.89,9.1416,9.1416
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:30:00Z,2026-03-23 05:30 ET,-110,123.34,123.62,123.1,123.5,0,True,False,112.89,9.3985,9.3985
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:35:00Z,2026-03-23 05:35 ET,-105,123.54,123.8,123.54,123.71,0,True,False,112.89,9.5846,9.5846
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:40:00Z,2026-03-23 05:40 ET,-100,123.71,123.79,123.45,123.57,0,True,False,112.89,9.4605,9.4605
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:45:00Z,2026-03-23 05:45 ET,-95,123.56,123.6,123.2,123.47,0,True,False,112.89,9.372,9.372
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:50:00Z,2026-03-23 05:50 ET,-90,123.46,123.51,123.2,123.34,0,True,False,112.89,9.2568,9.2568
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T09:55:00Z,2026-03-23 05:55 ET,-85,123.42,123.52,123.17,123.2,0,True,False,112.89,9.1328,9.1328
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:00:00Z,2026-03-23 06:00 ET,-80,123.13,123.54,123.07,123.45,0,True,False,112.89,9.3542,9.3542
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:05:00Z,2026-03-23 06:05 ET,-75,123.51,123.86,123.43,123.51,0,True,False,112.89,9.4074,9.4074
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:10:00Z,2026-03-23 06:10 ET,-70,123.48,123.55,123.26,123.34,0,True,False,112.89,9.2568,9.2568
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:15:00Z,2026-03-23 06:15 ET,-65,123.3,123.56,123.25,123.26,0,True,False,112.89,9.1859,9.1859
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:20:00Z,2026-03-23 06:20 ET,-60,123.4,123.69,123.4,123.58,0,True,False,112.89,9.4694,9.4694
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:25:00Z,2026-03-23 06:25 ET,-55,123.58,123.81,123.51,123.55,0,True,False,112.89,9.4428,9.4428
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:30:00Z,2026-03-23 06:30 ET,-50,123.56,123.56,122.89,122.93,0,True,False,112.89,8.8936,8.8936
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:35:00Z,2026-03-23 06:35 ET,-45,122.91,123.18,122.8,123.18,0,True,False,112.89,9.1151,9.1151
