topic,asset,signal,window,mean,p,n,p_fdr,p_fdr_trim
iran_military,SPY,vpin_z,post,-0.0886619611284706,0.2632,241,0.3261391304347826,0.3704296296296296
iran_military,QQQ,logret,pre,-1.843389977382784e-05,0.1616,237,0.2137169373549884,0.254804979253112
iran_military,QQQ,logret,post,-8.887550319325581e-05,0.1464,237,0.1960407204385278,0.2360622347949081
iran_military,QQQ,vol_z,pre,-0.11816201156144766,0.0001541221035847624,237,0.00036401767559384493,0.0008326976212636452
iran_military,QQQ,vol_z,post,-0.14132562645044885,9.94110997083912e-07,237,2.768615317611547e-06,9.213711680289917e-06
iran_military,QQQ,dvol_z,pre,-0.1186245714802807,0.0001368116541299551,237,0.0003244770160363706,0.0007498331043661
iran_military,QQQ,dvol_z,post,-0.14148854034454436,9.761293083792686e-07,237,2.722970827615904e-06,9.121208291412838e-06
iran_military,QQQ,signed_vol_tick,pre,140557.52742616035,0.6204,237,0.6701730890713835,0.6981796643632774
iran_military,QQQ,signed_vol_tick,post,1455502.7805907172,0.0004,237,0.0008571428571428572,0.0016703296703296704
iran_military,QQQ,OFI_bvc,pre,-0.00691098515061607,0.398,237,0.46016227180527386,0.4991419141914192
iran_military,QQQ,OFI_bvc,post,-0.006435748902922115,0.1664,237,0.21871176018447347,0.2595020519835841
iran_military,QQQ,vpin_z,pre,-0.16298181406237222,0.0288,237,0.04405008944543828,0.05980327868852459
iran_military,QQQ,vpin_z,post,-0.07985572701675074,0.3272,237,0.3918151260504201,0.43474125874125874
iran_military,XLE,logret,pre,1.5939176501371896e-05,0.3396,270,0.40431154381084844,0.44654377880184337
iran_military,XLE,logret,post,0.00033508796017606455,0.0001837312309313264,270,0.0004315664902370442,0.0009724982491700277
iran_military,XLE,vol_z,pre,0.053621670186216774,0.348,270,0.4126768377253814,0.4549541284403669
iran_military,XLE,vol_z,post,-0.018735175850375475,0.8468,270,0.8781249241964827,0.894672845227062
iran_military,XLE,dvol_z,pre,0.054553985300322114,0.3684,270,0.43195068493150685,0.47237710437710434
iran_military,XLE,dvol_z,post,-0.020365177034301102,0.8112,270,0.8468571428571429,0.8658876404494382
iran_military,XLE,signed_vol_tick,pre,63478.95925925926,0.346,270,0.410875,0.4533793103448276
iran_military,XLE,signed_vol_tick,post,-1018385.2925925925,0.0016,270,0.0030915254237288137,0.005317784256559767
iran_military,XLE,OFI_bvc,pre,0.03314744185605682,7.654466887031969e-11,270,2.7325967383767573e-10,2.0293237793526618e-09
iran_military,XLE,OFI_bvc,post,0.018657880122046708,0.0044,270,0.007928345626975765,0.01279591836734694
iran_military,XLE,vpin_z,pre,-0.5122089461703665,2.43011795337342e-13,270,9.48744680426609e-13,1.539074703803166e-11
iran_military,XLE,vpin_z,post,-0.5694918738825434,5.231650771380724e-10,270,1.7964102046307306e-09,1.1469388229565433e-08
