ts_utc,ts_et,open,high,low,close,volume,is_zero_vol,is_rth_bar
2026-03-23T10:20:00Z,2026-03-23 06:20 ET,123.4,123.69,123.4,123.58,0,True,False
2026-03-23T10:25:00Z,2026-03-23 06:25 ET,123.58,123.81,123.51,123.55,0,True,False
2026-03-23T10:30:00Z,2026-03-23 06:30 ET,123.56,123.56,122.89,122.93,0,True,False
2026-03-23T10:35:00Z,2026-03-23 06:35 ET,122.91,123.18,122.8,123.18,0,True,False
2026-03-23T10:40:00Z,2026-03-23 06:40 ET,123.15,123.19,122.67,122.76,0,True,False
2026-03-23T10:45:00Z,2026-03-23 06:45 ET,122.73,122.92,122.18,122.26,0,True,False
2026-03-23T10:50:00Z,2026-03-23 06:50 ET,122.36,122.74,121.45,122.61,0,True,False
2026-03-23T10:55:00Z,2026-03-23 06:55 ET,122.59,122.95,122.59,122.77,0,True,False
2026-03-23T11:00:00Z,2026-03-23 07:00 ET,122.8,123.03,122.63,122.84,0,True,False
2026-03-23T11:05:00Z,2026-03-23 07:05 ET,122.82,122.86,109.0,113.05,0,True,False
2026-03-23T11:10:00Z,2026-03-23 07:10 ET,112.99,114.63,109.0,109.97,0,True,False
2026-03-23T11:15:00Z,2026-03-23 07:15 ET,109.97,111.91,109.68,111.38,0,True,False
2026-03-23T11:20:00Z,2026-03-23 07:20 ET,111.4,113.51,110.84,112.89,0,True,False
2026-03-23T11:25:00Z,2026-03-23 07:25 ET,112.92,113.43,111.59,112.9,0,True,False
2026-03-23T11:30:00Z,2026-03-23 07:30 ET,113.0,113.0,111.51,112.2,0,True,False
2026-03-23T11:35:00Z,2026-03-23 07:35 ET,112.37,113.48,111.91,113.13,0,True,False
2026-03-23T11:40:00Z,2026-03-23 07:40 ET,113.08,113.98,112.78,113.65,0,True,False
2026-03-23T11:45:00Z,2026-03-23 07:45 ET,113.58,114.7,113.56,113.71,0,True,False
2026-03-23T11:50:00Z,2026-03-23 07:50 ET,113.8,114.94,113.72,114.19,0,True,False
2026-03-23T11:55:00Z,2026-03-23 07:55 ET,114.2,115.78,114.18,115.26,0,True,False
2026-03-23T12:00:00Z,2026-03-23 08:00 ET,115.26,126.64,109.0,115.64,0,True,False
2026-03-23T12:05:00Z,2026-03-23 08:05 ET,115.66,126.5,115.15,115.36,0,True,False
2026-03-23T12:10:00Z,2026-03-23 08:10 ET,115.33,115.59,114.59,115.14,0,True,False
2026-03-23T12:15:00Z,2026-03-23 08:15 ET,115.19,115.2,113.98,114.11,0,True,False
2026-03-23T12:20:00Z,2026-03-23 08:20 ET,114.12,114.5,113.57,113.99,0,True,False
2026-03-23T12:25:00Z,2026-03-23 08:25 ET,113.91,114.4,113.37,114.15,0,True,False
2026-03-23T12:30:00Z,2026-03-23 08:30 ET,114.17,114.18,113.45,113.82,0,True,False
2026-03-23T12:35:00Z,2026-03-23 08:35 ET,113.83,114.27,112.88,113.62,0,True,False
2026-03-23T12:40:00Z,2026-03-23 08:40 ET,113.59,113.96,111.15,111.63,0,True,False
2026-03-23T12:45:00Z,2026-03-23 08:45 ET,111.64,112.04,110.38,110.52,0,True,False
2026-03-23T12:50:00Z,2026-03-23 08:50 ET,110.65,111.74,110.45,111.49,0,True,False
2026-03-23T12:55:00Z,2026-03-23 08:55 ET,111.5,111.8,110.95,111.44,0,True,False
2026-03-23T13:00:00Z,2026-03-23 09:00 ET,111.36,111.64,109.85,111.18,0,True,False
2026-03-23T13:05:00Z,2026-03-23 09:05 ET,111.2,111.78,111.02,111.29,0,True,False
2026-03-23T13:10:00Z,2026-03-23 09:10 ET,111.3,112.44,111.02,112.39,0,True,False
2026-03-23T13:30:00Z,2026-03-23 09:30 ET,113.29,113.36,112.61,112.97,12785105,False,True
2026-03-23T13:35:00Z,2026-03-23 09:35 ET,112.99,113.46,111.91,111.93,1545686,False,True
2026-03-23T13:40:00Z,2026-03-23 09:40 ET,111.97,112.56,110.87,111.59,2509600,False,True
2026-03-23T13:45:00Z,2026-03-23 09:45 ET,111.57,111.72,110.48,110.57,2086151,False,True
2026-03-23T13:50:00Z,2026-03-23 09:50 ET,110.57,110.99,110.1,110.97,1736118,False,True
2026-03-23T13:55:00Z,2026-03-23 09:55 ET,110.99,111.65,110.71,111.05,1892199,False,True
2026-03-23T14:00:00Z,2026-03-23 10:00 ET,111.06,111.21,109.58,110.18,2735822,False,True
2026-03-23T14:05:00Z,2026-03-23 10:05 ET,110.18,110.73,109.94,110.51,2034140,False,True
2026-03-23T14:10:00Z,2026-03-23 10:10 ET,110.51,111.0,110.12,110.87,1426947,False,True
2026-03-23T14:15:00Z,2026-03-23 10:15 ET,110.87,110.93,110.08,110.35,1278649,False,True
